time,location,timestamp
1364366401,in[sport-venues],2013-03-27 06:40:01
1364366417,in[sport-venues],2013-03-27 06:40:17
1364366432,in[sport-venues],2013-03-27 06:40:32
1364366454,in[sport-venues],2013-03-27 06:40:54
1364366470,in[sport-venues],2013-03-27 06:41:10
1364366485,in[sport-venues],2013-03-27 06:41:25
1364366501,in[sport-venues],2013-03-27 06:41:41
1364366516,in[sport-venues],2013-03-27 06:41:56
1364366532,in[sport-venues],2013-03-27 06:42:12
1364366548,in[sport-venues],2013-03-27 06:42:28
1364366563,in[sport-venues],2013-03-27 06:42:43
1364366579,in[sport-venues],2013-03-27 06:42:59
1364366594,in[sport-venues],2013-03-27 06:43:14
1364366610,in[sport-venues],2013-03-27 06:43:30
1364366625,in[sport-venues],2013-03-27 06:43:45
1364366641,in[sport-venues],2013-03-27 06:44:01
1364366656,in[sport-venues],2013-03-27 06:44:16
1364366672,in[sport-venues],2013-03-27 06:44:32
1364366686,in[sport-venues],2013-03-27 06:44:46
1364366701,in[sport-venues],2013-03-27 06:45:01
1364366717,in[sport-venues],2013-03-27 06:45:17
1364366732,in[sport-venues],2013-03-27 06:45:32
1364366748,in[sport-venues],2013-03-27 06:45:48
1364366763,in[sport-venues],2013-03-27 06:46:03
1364366779,in[sport-venues],2013-03-27 06:46:19
1364366795,in[sport-venues],2013-03-27 06:46:35
1364366810,in[sport-venues],2013-03-27 06:46:50
1364366825,in[sport-venues],2013-03-27 06:47:05
1364366841,in[sport-venues],2013-03-27 06:47:21
1364366856,in[sport-venues],2013-03-27 06:47:36
1364366872,in[sport-venues],2013-03-27 06:47:52
1364366887,in[sport-venues],2013-03-27 06:48:07
1364366903,in[sport-venues],2013-03-27 06:48:23
1364366920,in[sport-venues],2013-03-27 06:48:40
1364366935,in[sport-venues],2013-03-27 06:48:55
1364366951,in[sport-venues],2013-03-27 06:49:11
1364366966,in[sport-venues],2013-03-27 06:49:26
1364366982,in[sport-venues],2013-03-27 06:49:42
1364367001,in[sport-venues],2013-03-27 06:50:01
1364367017,in[sport-venues],2013-03-27 06:50:17
1364367032,in[sport-venues],2013-03-27 06:50:32
1364367048,in[sport-venues],2013-03-27 06:50:48
1364367063,in[sport-venues],2013-03-27 06:51:03
1364367079,in[sport-venues],2013-03-27 06:51:19
1364367094,in[sport-venues],2013-03-27 06:51:34
1364367110,in[sport-venues],2013-03-27 06:51:50
